City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Kismayo,SO,76.64,overcast clouds,-0.3582,42.5454,Agan-Hotel
362,Carutapera,BR,78.3,clear sky,-1.195,-46.02,Lidera
363,Sao Filipe,CV,79.63,overcast clouds,14.8961,-24.4956,Hotel Xaguate
364,Celestun,MX,83.48,broken clouds,20.8667,-90.4,Posada Lilia
366,Axim,GH,76.01,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
369,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
376,Belle Fourche,US,76.51,clear sky,44.6714,-103.8522,Kings Inn
377,Garmsar,IR,80.92,clear sky,35.2182,52.3409,آذین فوم
380,Marshall,US,77.58,overcast clouds,34.3834,-86.3333,Riverview Campground
381,Melfi,IT,77.23,broken clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
383,Monrovia,LR,77.34,light rain,6.3005,-10.7969,Sunset Inn
386,Wanxian,CN,75.0,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
388,Punta Gorda,US,81.18,broken clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
391,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
392,Lakatoro,VU,79.72,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
397,Tres Palos,MX,83.01,broken clouds,18.1833,-101.6167,
408,Panalingaan,PH,78.78,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
409,Ixtapa,MX,79.83,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
410,Kudat,MY,78.94,moderate rain,6.8837,116.8477,Dream Garden Hotel
412,Meulaboh,ID,75.27,broken clouds,4.1363,96.1285,Kost Pria
416,Rurrenabaque,BO,77.25,overcast clouds,-14.4413,-67.5278,Casa de Campo
417,Singaraja,ID,78.71,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
419,Fare,PF,78.96,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
421,Onalaska,US,82.35,clear sky,43.8844,-91.2351,Stoney Creek Hotel La Crosse - Onalaska
424,Natal,BR,77.65,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
427,Farah,AF,75.24,clear sky,32.5,62.5,
430,Male,MV,82.74,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
