City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Zaysan,KZ,47.4667,84.8667,58.93,30,6,7.29,clear sky
156,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,24.16,overcast clouds
157,Ola,RU,59.5833,151.2833,52.92,72,1,4.23,clear sky
158,Pauini,BR,-7.7136,-66.9764,82.78,58,83,4.47,broken clouds
159,Raga,SS,8.4596,25.678,70.12,95,97,2.35,light rain
160,Jamestown,US,42.097,-79.2353,72.84,74,1,4.0,clear sky
161,Tagusao,PH,9.1924,117.8141,79.86,80,100,1.45,overcast clouds
162,Lasa,IT,46.6166,10.7002,60.03,95,100,2.82,light rain
163,Castrillon,ES,43.3979,-6.7922,63.14,98,21,2.53,few clouds
164,Saldanha,ZA,-33.0117,17.9442,54.91,72,0,19.24,clear sky
165,Road Town,VG,18.4167,-64.6167,82.49,78,8,14.14,clear sky
166,Mangrol,IN,21.1167,70.1167,80.04,87,97,13.89,overcast clouds
167,Mincivan,AZ,39.0294,46.7185,70.57,54,0,2.51,clear sky
168,Bonthe,SL,7.5264,-12.505,76.14,89,81,6.38,light rain
169,Grindavik,IS,63.8424,-22.4338,46.87,87,75,9.22,broken clouds
170,Khatanga,RU,71.9667,102.5,31.84,87,100,1.92,overcast clouds
171,Sechura,PE,-5.5569,-80.8222,69.44,68,10,18.21,clear sky
172,Manggar,ID,-2.8833,108.2667,80.8,78,60,9.15,broken clouds
173,Carnarvon,AU,-24.8667,113.6333,53.67,66,32,9.22,scattered clouds
174,Inhambane,MZ,-23.865,35.3833,71.28,91,4,4.85,clear sky
175,Yulara,AU,-25.2406,130.9889,66.04,77,90,9.22,overcast clouds
176,Hithadhoo,MV,-0.6,73.0833,83.3,72,99,10.63,light rain
177,Mongo,TD,12.1844,18.693,81.64,45,78,4.41,broken clouds
178,Flin Flon,CA,54.7682,-101.865,46.24,87,90,10.36,overcast clouds
179,Kirakira,SB,-10.4544,161.9205,83.53,72,27,11.01,scattered clouds
180,Constantine,DZ,36.365,6.6147,80.49,43,91,0.96,overcast clouds
181,Guerrero Negro,MX,27.9769,-114.0611,75.45,63,5,21.99,clear sky
182,Ribeira Brava,PT,32.65,-17.0667,72.23,74,18,7.45,few clouds
183,Ninotsminda,GE,41.2646,43.5916,54.05,91,81,5.06,broken clouds
184,Lavrentiya,RU,65.5833,-171.0,36.93,61,95,4.23,overcast clouds
185,Volovo,UA,48.5246,23.5056,61.47,90,100,4.52,overcast clouds
186,Swift Current,CA,50.2834,-107.8014,58.14,29,32,23.35,scattered clouds
187,Zatoka,UA,46.0725,30.4654,55.94,66,11,7.92,few clouds
188,Bloemfontein,ZA,-29.1211,26.214,43.39,61,1,15.46,clear sky
189,Saint-Joseph,RE,-21.3667,55.6167,70.16,79,23,3.04,light rain
190,Touros,BR,-5.1989,-35.4608,77.9,82,1,18.21,clear sky
191,Flinders,AU,-34.5833,150.8552,64.06,75,4,1.99,clear sky
192,Pisco,PE,-13.7,-76.2167,63.01,77,20,13.8,few clouds
193,Umtata,ZA,-31.5889,28.7844,49.08,83,62,8.61,broken clouds
194,Mweka,CD,-4.85,21.5667,69.66,91,99,2.33,overcast clouds
195,Zhaoyuan,CN,37.3592,120.3964,68.0,93,99,7.36,overcast clouds
196,Hofn,IS,64.2539,-15.2082,51.75,98,100,15.08,overcast clouds
197,Geraldton,AU,-28.7667,114.6,50.41,93,40,0.0,scattered clouds
198,Gelibolu,TR,40.4103,26.6708,62.46,64,1,7.83,clear sky
199,Broome,US,42.2506,-75.833,71.38,68,90,1.99,overcast clouds
200,Gamboma,CG,-1.8764,15.8644,72.55,88,100,3.89,overcast clouds
201,Areia Branca,BR,-4.9561,-37.1369,81.5,65,44,23.4,scattered clouds
202,Acajutla,SV,13.5928,-89.8275,82.24,77,59,3.49,light rain
203,Kapoeta,SS,4.7717,33.5903,78.22,59,79,3.15,broken clouds
204,Mawlaik,MM,23.6333,94.4167,74.26,99,100,0.56,overcast clouds
205,Baykit,RU,61.67,96.37,35.8,89,100,2.95,overcast clouds
206,Tual,ID,-5.6667,132.75,80.47,76,65,20.15,broken clouds
207,Nome,US,64.5011,-165.4064,48.16,54,90,3.44,overcast clouds
208,Dabat,ET,12.9842,37.765,53.46,78,46,2.86,scattered clouds
209,Sant Feliu De Guixols,ES,41.7833,3.0333,74.89,94,43,2.48,scattered clouds
210,Muroto,JP,33.2833,134.15,71.64,82,100,18.19,moderate rain
211,Saint-Augustin,CA,51.226,-58.6502,56.28,57,42,12.48,scattered clouds
212,Nautla,MX,20.2167,-96.7833,83.88,78,100,3.58,overcast clouds
213,Houston,US,29.7633,-95.3633,83.34,78,75,1.99,broken clouds
214,Lake City,US,30.1897,-82.6393,83.95,94,90,0.0,overcast clouds
215,Nantucket,US,41.2835,-70.0995,68.11,93,99,13.53,overcast clouds
216,Katsuura,JP,35.1333,140.3,69.91,74,100,7.31,overcast clouds
217,Cherskiy,RU,68.75,161.3,37.42,61,91,17.31,overcast clouds
218,Ambilobe,MG,-13.2,49.05,70.83,78,77,4.47,broken clouds
219,Marsh Harbour,BS,26.5412,-77.0636,84.22,66,62,4.9,broken clouds
220,Hualmay,PE,-11.0964,-77.6139,63.07,79,15,12.06,few clouds
221,Zwettl,AT,48.6,15.1667,61.93,97,100,7.74,light rain
222,Bako,ET,5.7833,36.5667,63.64,83,92,4.45,light rain
223,Luocheng,CN,29.3848,104.0286,66.74,94,100,0.96,overcast clouds
224,Namatanai,PG,-3.6667,152.4333,82.76,69,29,4.7,scattered clouds
225,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,73,20,13.8,few clouds
226,Rosita,NI,13.9268,-84.4032,83.16,73,73,3.83,broken clouds
227,Madras,IN,13.0878,80.2785,84.18,84,75,6.91,mist
228,Tasiilaq,GL,65.6145,-37.6368,35.76,68,7,5.19,clear sky
229,Uinskoye,RU,56.8817,56.5813,41.9,93,100,10.16,overcast clouds
230,Komsomolskiy,UZ,40.4272,71.7189,67.42,22,0,3.06,clear sky
231,Shizunai,JP,42.3339,142.3669,61.34,69,100,13.33,overcast clouds
232,Chapais,CA,49.7834,-74.8492,59.34,59,20,7.43,few clouds
233,Paramonga,PE,-10.6667,-77.8333,62.62,82,10,11.07,clear sky
234,Gaoua,BF,10.2992,-3.2508,73.94,86,16,3.8,few clouds
235,Bosaso,SO,11.2842,49.1816,92.21,43,49,5.48,scattered clouds
236,Baracoa,CU,20.3467,-74.4958,80.92,83,67,3.65,broken clouds
237,Aksu,CN,41.1231,80.2644,67.01,42,40,5.59,scattered clouds
238,Fairbanks,US,64.8378,-147.7164,56.1,51,75,0.0,broken clouds
239,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.57,44,93,1.81,moderate rain
240,Keuruu,FI,62.2667,24.7,42.98,72,98,3.76,overcast clouds
241,Domna,RU,51.8971,113.1573,42.96,93,67,0.0,broken clouds
242,Pevek,RU,69.7008,170.3133,31.26,78,100,18.16,overcast clouds
243,Harindanga,IN,22.0383,88.3214,82.38,90,100,3.04,overcast clouds
244,Rio Gallegos,AR,-51.6226,-69.2181,41.05,93,40,9.22,scattered clouds
245,Vao,NC,-22.6667,167.4833,68.7,60,0,14.65,clear sky
246,San Policarpo,PH,12.1791,125.5072,80.08,83,100,1.28,overcast clouds
247,Horki,BY,54.2861,30.9842,43.3,70,100,8.93,light rain
248,Bocas Del Toro,PA,9.3333,-82.25,85.08,73,94,4.25,overcast clouds
249,Port-Cartier,CA,50.0334,-66.8654,56.75,74,3,5.79,clear sky
250,San Cristobal,VE,7.7669,-72.225,75.38,98,83,3.89,broken clouds
251,Kurilsk,RU,45.2333,147.8833,52.65,67,100,9.82,overcast clouds
252,Yerbogachen,RU,61.2767,108.0108,34.05,90,60,4.43,broken clouds
253,Kumeny,RU,58.1089,49.9161,40.24,93,100,10.96,overcast clouds
254,Buala,SB,-8.145,159.5921,84.24,68,57,7.67,broken clouds
255,Itarema,BR,-2.9248,-39.9167,79.0,86,0,15.01,clear sky
256,Denpasar,ID,-8.65,115.2167,78.46,94,75,11.5,broken clouds
257,Changji,CN,44.0167,87.3167,68.79,34,0,4.47,clear sky
258,Port Hedland,AU,-20.3167,118.5667,60.85,88,1,6.91,clear sky
259,Lorengau,PG,-2.0226,147.2712,82.51,71,54,9.62,broken clouds
260,Byron Bay,AU,-28.65,153.6167,69.06,66,4,7.14,clear sky
261,Tecoanapa,MX,16.5167,-98.75,83.8,73,98,5.19,overcast clouds
262,Ushtobe,KZ,45.2514,77.9838,60.17,43,0,4.45,clear sky
263,Saint George,US,37.1041,-113.5841,99.07,12,1,1.01,clear sky
264,Cepu,ID,-7.1475,111.5906,76.6,83,36,3.38,scattered clouds
265,Kitimat,CA,54.0524,-128.6534,52.92,69,100,1.36,overcast clouds
266,Atakpame,TG,7.5333,1.1333,71.92,92,26,3.29,scattered clouds
267,Torbay,CA,47.6666,-52.7314,64.58,92,75,21.85,broken clouds
268,Breytovo,RU,58.2993,37.8617,42.89,74,100,7.74,overcast clouds
269,Luhyny,UA,51.082,28.4006,57.25,73,100,8.19,overcast clouds
270,Mingshui,CN,36.7167,117.5,66.92,94,100,4.21,light rain
271,Solginskiy,RU,61.05,41.3428,38.05,94,100,5.19,overcast clouds
272,Puerto Madero,MX,14.7208,-92.4215,86.2,70,40,8.05,scattered clouds
273,Rio Grande,BR,-32.035,-52.0986,56.1,71,0,11.21,clear sky
274,Pandan,PH,14.0453,124.1694,79.68,85,100,1.12,overcast clouds
275,Puerto Ayora,EC,-0.7393,-90.3518,68.56,95,54,5.01,broken clouds
276,Gogrial,SS,8.5332,28.1004,72.63,94,86,3.69,light rain
277,Eidsvag,NO,62.7767,8.0668,55.45,86,100,3.6,overcast clouds
278,Grand-Santi,GF,4.25,-54.3833,76.57,81,77,3.65,broken clouds
279,Semnan,IR,35.5729,53.3971,76.21,13,0,5.1,clear sky
280,Yaan,NG,7.3833,8.5667,73.62,96,75,4.94,light rain
281,Harper,LR,4.375,-7.7169,77.41,86,93,8.88,light rain
282,Otradnoye,RU,59.7775,30.8181,40.17,93,25,1.41,scattered clouds
283,Poum,NC,-20.2333,164.0167,70.39,57,27,17.63,scattered clouds
284,Beidao,CN,34.5686,105.8933,61.18,88,100,1.99,light rain
285,Talnakh,RU,69.4865,88.3972,33.53,89,29,2.17,scattered clouds
286,Narsaq,GL,60.9167,-46.05,37.62,74,100,2.98,overcast clouds
287,Calatayud,ES,41.3535,-1.6432,66.78,70,24,2.73,few clouds
288,Kavieng,PG,-2.5744,150.7967,82.13,71,60,6.08,broken clouds
289,Mandalgovi,MN,45.7625,106.2708,54.48,40,11,4.07,few clouds
290,Berlevag,NO,70.8578,29.0864,41.2,81,98,12.37,overcast clouds
291,Dandong,CN,40.1292,124.3947,65.57,89,100,5.37,overcast clouds
292,Oistins,BB,13.0667,-59.5333,82.49,78,40,16.11,scattered clouds
293,Bafq,IR,31.6128,55.4107,76.24,9,0,1.79,clear sky
294,Maceio,BR,-9.6658,-35.7353,78.24,88,40,4.61,scattered clouds
295,Obigarm,TJ,38.7173,69.7088,62.29,25,0,5.35,clear sky
296,Forestville,US,38.8451,-76.875,74.73,92,40,0.0,light intensity drizzle
297,Kristinehamn,SE,59.3098,14.1081,46.96,92,100,13.6,light rain
298,Yatou,CN,37.15,122.3833,68.41,80,62,7.94,light rain
299,Makakilo City,US,21.3469,-158.0858,88.12,56,75,12.66,broken clouds
300,Loukhi,RU,66.0764,33.0381,41.67,87,100,7.16,overcast clouds
301,Savannah Bight,HN,16.45,-85.85,91.45,83,49,28.5,scattered clouds
302,Chifeng,CN,42.2683,118.9636,55.87,64,0,4.32,clear sky
303,Tibati,CM,6.4667,12.6333,67.1,95,95,1.28,light rain
304,Sur,OM,22.5667,59.5289,86.86,51,72,3.29,broken clouds
305,Pacific Grove,US,36.6177,-121.9166,77.25,82,75,4.0,broken clouds
306,Champerico,GT,14.3,-91.9167,88.34,76,54,6.42,broken clouds
307,Ostrow Mazowiecka,PL,52.8024,21.8951,62.62,98,96,4.85,overcast clouds
308,Esperance,AU,-33.8667,121.9,46.24,77,98,19.13,light rain
309,Puerto Escondido,MX,15.85,-97.0667,81.43,61,90,4.61,overcast clouds
310,Hvolsvollur,IS,63.7533,-20.2243,46.81,98,100,6.53,overcast clouds
311,Chokurdakh,RU,70.6333,147.9167,40.05,82,99,3.89,overcast clouds
312,Concordia,AR,-31.393,-58.0209,57.33,70,0,6.67,clear sky
313,Clyde River,CA,70.4692,-68.5914,29.88,83,97,12.15,overcast clouds
314,Karachi,PK,24.9056,67.0822,85.82,70,1,3.44,clear sky
315,Yabrud,SY,33.9674,36.6574,55.06,79,0,2.91,clear sky
316,Mananjary,MG,-21.2167,48.3333,68.32,89,9,9.28,clear sky
317,Palmerston North,NZ,-40.35,175.6167,51.78,70,100,8.99,overcast clouds
318,Santa Maria,BR,-29.6842,-53.8069,53.62,84,6,6.38,clear sky
319,Victoria,HK,22.2855,114.1577,84.33,84,53,1.01,broken clouds
320,Kousseri,CM,12.0769,15.0306,77.81,61,100,9.86,overcast clouds
321,Masunga,BW,-20.6246,27.4488,67.96,38,35,5.32,scattered clouds
322,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,86,53,8.37,broken clouds
323,Chenzhou,CN,25.8,113.0333,77.02,83,5,1.41,clear sky
324,Bollnas,SE,61.3482,16.3946,47.12,96,100,3.78,overcast clouds
325,Ponta Do Sol,PT,32.6667,-17.1,72.23,71,17,7.11,few clouds
326,Alausi,EC,-2.2,-78.8333,51.13,83,79,5.5,light rain
327,Praya,CV,14.9215,-23.5087,81.14,83,75,18.41,broken clouds
328,Kholodnyy,RU,62.7167,147.95,50.86,55,1,7.27,clear sky
329,Port-Gentil,GA,-0.7193,8.7815,78.3,81,100,10.11,overcast clouds
330,Padang,ID,-0.9492,100.3543,75.25,86,70,4.07,broken clouds
331,Taoudenni,ML,22.6783,-3.9836,96.46,23,99,12.5,overcast clouds
