City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,La Reforma,MX,2021-09-13 17:07:30,25.0833,-108.05,90.09,68,14,3.29
90,Khorixas,NA,2021-09-13 17:07:30,-20.3667,14.9667,79.07,22,1,18.32
91,Wasilla,US,2021-09-13 17:07:30,61.5814,-149.4394,52.03,61,1,5.01
92,Manhattan,US,2021-09-13 17:06:54,40.7834,-73.9662,86.95,59,75,5.75
93,Mount Isa,AU,2021-09-13 17:07:31,-20.7333,139.5,73.17,17,10,8.05
94,Hithadhoo,MV,2021-09-13 17:07:32,-0.6,73.0833,83.8,75,11,11.48
95,Zlobin,HR,2021-09-13 17:07:32,45.2924,14.6541,72.7,34,0,4.61
96,Carnarvon,AU,2021-09-13 17:07:33,-24.8667,113.6333,62.67,63,0,13.8
97,Barretos,BR,2021-09-13 17:07:32,-20.5572,-48.5678,100.8,11,3,8.3
98,Kloulklubed,PW,2021-09-13 17:07:33,7.0419,134.2556,75.7,73,91,8.7
99,La Asuncion,VE,2021-09-13 17:07:34,11.0333,-63.8628,85.69,64,80,8.86
100,Pilar,BR,2021-09-13 17:03:54,-9.5972,-35.9567,78.73,61,32,11.16
101,Kununurra,AU,2021-09-13 17:07:34,-15.7667,128.7333,73.38,68,99,1.14
102,Avarua,CK,2021-09-13 17:07:34,-21.2078,-159.775,73.45,73,23,9.22
103,Adrar,MR,2021-09-13 17:07:35,20.5022,-10.0711,106.25,10,44,9.98
104,Westport,US,2021-09-13 17:07:35,41.1415,-73.3579,85.78,62,1,1.01
105,Vao,NC,2021-09-13 17:07:36,-22.6667,167.4833,69.87,79,26,11.59
106,El Dorado,US,2021-09-13 17:03:08,38.7666,-120.5177,83.71,21,48,4.43
107,Broken Hill,AU,2021-09-13 17:07:36,-31.95,141.4333,44.56,52,0,9.55
108,Victoria,HK,2021-09-13 17:05:28,22.2855,114.1577,87.33,83,90,5.28
109,Barrow,US,2021-09-13 17:07:37,71.2906,-156.7887,37.42,93,90,13.8
110,Villa Carlos Paz,AR,2021-09-13 17:07:37,-31.4241,-64.4978,80.24,22,0,3.0
111,Mudhol,IN,2021-09-13 17:07:37,16.35,75.2833,73.26,88,100,14.74
112,Kyaikkami,MM,2021-09-13 17:07:38,16.08,97.5675,79.54,84,95,5.7
113,Bahawalpur,PK,2021-09-13 17:07:38,29.4,71.6833,90.54,46,4,10.11
114,Yulara,AU,2021-09-13 17:07:38,-25.2406,130.9889,58.84,33,65,8.05
115,Leningradskiy,RU,2021-09-13 17:07:39,69.3833,178.4167,19.13,78,10,6.33
116,Coquimbo,CL,2021-09-13 17:07:39,-29.9533,-71.3436,65.93,48,0,10.36
117,East London,ZA,2021-09-13 17:05:21,-33.0153,27.9116,63.54,88,75,11.5
118,Havoysund,NO,2021-09-13 17:07:40,70.9963,24.6622,46.63,83,100,9.04
119,Moirang,IN,2021-09-13 17:07:40,24.5,93.7667,68.95,98,38,1.95
120,Houston,US,2021-09-13 17:02:44,29.7633,-95.3633,78.57,83,75,1.99
121,Vaini,TO,2021-09-13 17:07:41,-21.2,-175.2,66.36,100,25,3.44
122,Boralday,KZ,2021-09-13 17:07:41,43.3578,76.8594,58.86,41,13,4.47
123,Srednekolymsk,RU,2021-09-13 17:07:42,67.45,153.6833,48.22,68,89,3.24
124,Zhangye,CN,2021-09-13 17:07:42,38.9342,100.4517,60.4,83,100,15.32
125,Torbay,CA,2021-09-13 17:07:42,47.6666,-52.7314,70.29,68,98,17.29
126,Geraldton,AU,2021-09-13 17:07:43,-28.7667,114.6,45.01,87,0,8.05
127,Dikson,RU,2021-09-13 17:07:43,73.5069,80.5464,41.27,90,99,17.92
128,Butaritari,KI,2021-09-13 17:07:44,3.0707,172.7902,81.19,81,46,16.4
129,Graham,US,2021-09-13 17:07:44,47.0529,-122.2943,62.69,74,40,0.0
130,Marrakesh,MA,2021-09-13 17:04:16,31.6315,-8.0083,82.47,42,75,12.66
131,Puerto Baquerizo Moreno,EC,2021-09-13 17:02:57,-0.9,-89.6,69.4,83,85,12.44
132,Puerto Del Rosario,ES,2021-09-13 17:07:45,28.5004,-13.8627,78.48,83,20,5.75
133,Laguna,US,2021-09-13 17:07:45,38.421,-121.4238,87.96,46,1,1.01
134,Buraydah,SA,2021-09-13 17:07:46,26.326,43.975,91.42,15,6,11.03
135,Rabo De Peixe,PT,2021-09-13 17:07:46,37.8,-25.5833,72.91,64,40,11.5
136,Formosa Do Rio Preto,BR,2021-09-13 17:07:47,-11.0483,-45.1931,97.47,15,9,9.33
137,Belmonte,BR,2021-09-13 17:07:47,-15.8631,-38.8828,79.3,68,50,8.34
138,Zhigansk,RU,2021-09-13 17:07:48,66.7697,123.3711,48.13,94,100,9.04
139,Caidian,CN,2021-09-13 17:07:48,30.5833,114.0333,74.28,76,1,6.6
140,Atuona,PF,2021-09-13 17:07:48,-9.8,-139.0333,76.66,77,35,19.53
141,San Andres,CO,2021-09-13 17:07:49,12.5847,-81.7006,84.22,79,40,11.5
142,Jamestown,US,2021-09-13 17:04:12,42.097,-79.2353,76.3,79,20,7.0
143,Saint-Philippe,RE,2021-09-13 17:07:49,-21.3585,55.7679,71.19,83,51,18.19
144,Masumbwe,TZ,2021-09-13 17:07:50,-3.6333,32.1833,82.13,26,54,3.0
145,Vostok,RU,2021-09-13 17:07:50,46.4856,135.8833,42.6,77,100,3.47
146,Grand Gaube,MU,2021-09-13 17:07:50,-20.0064,57.6608,72.0,73,41,10.0
